NPA,Violent_Crime_Rate_2015,Violent_Crimes_2015,Property_Crime_Rate_2015,Property_Crimes_2015,Disorder_Call_Rate_2015,Disorder_Calls_2015,Animal_Control_Call_Rate_2015,Animal_Control_Calls_2015,Fire_Call_Rate_2015,Fire_Calls_2015,Nuisance_Violations_2015,Nuisance_Violations_Total_2015,311_Requests_2015,311_Calls_2015,Voter_Participation_2015,Voters_Participating_2015,Neighborhood_Organizations_2015,Population_Density_2015,Population _2015,Age_of_Residents_2015,Age_of_Residents_moe_2015,Youth_Population_2015,Youth_Population_moe_2015,Older_Adult_Population_2015,Older_Adult_Population_moe_2015,Vacant_Land_2015,Vacant_Land_Area_2015,Household_Income_2015,Household_Income_moe_2015,Public_Nutrition_Assistance_2015,Employment_Rate_2015,Employment_Rate_moe_2015,Job_Density_2015,Jobs_2015,Commercial_Construction_2015,Commercial_Construction_Permitted_Units_2015,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Building_Age_2015,Fincancial_Services_Proximity_2015,Financial_Services_Proximate_Units_2015,Bachelors_Degree_2015,Bachelors_Degree_moe_2015,High_School_Diploma_2015,High_School_Diploma_moe_2015,Early_Care_Proximity_2015,Early_Care_Proximate_Units_2015,SchoolAge_Proximity_2015,SchoolAge_Proximate_Units_2015,Library_Card_Prevalence_2015,Library_Card_Holders_2015,Proficiency_Elementary_School_2015,Proficiency_Middle_School_2015,Proficiency_High_School_2015,Highschool_Graduation_Rate_2015,Student_Absenteeism_2015,Neighborhood_School_Attendance_2015,Grocery_Proximity_2015,Grocery_Proximate_Units_2015,Pharmacy_Proximity_2015,Pharmacy_Proximate_Units_2015,Park_Proximity_2015,Park_Proximate_Units_2015,Public_Health_Insurance _2015,Impervious_Surface_2015,Impervious_Surface_Area_2015,Adopt_a_Stream_2015,Adopt_a_Stream_Length_2015,Commuters_Driving_Alone_2015,Commuters_Driving_Alone_moe_2015,Housing_Density_2015,Housing_Units_2015,Single_Family_Housing_2015,Single_Family_Units_2015,Housing_Size_2015,Housing_Age_2015,Rental_Houses_2015,Rental_Houses_Units_2015,New_Residential_2015,New_Residential_Permit_Units_2015,Residential_Renovation_2015,Residential_Renovation_Permit_Units_2015,Foreclosures_2015,Foreclosed_Units_2015,Home_Sales_Price_2015,Housing_Violations_2015,Housing_Violations_Total_2015,Home_Ownership_2015,Home_Ownership_moe_2015,Bicycle_Friendliness_2015,Street_Connectivity_2015,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Ridership_2015,Transit_Ridership_Total_2015
2,4.5,10.0,31.1,69.0,196.8,436.0,36.2,78.0,38.4,85.0,13.8,149.0,32.0,708.0,23.0,270.0,2.0,5.0,2216.0,36.0,,14.0,5.0,8.0,2.0,4.3,18.0,45373.0,,17.0,87.0,8.0,2.8,1151.0,,,12670.0,456137.0,51.0,21.0,224.0,34.0,4.0,86.0,9.0,61.0,662.0,100.0,1078.0,20.0,443.0,34.1,41.7,,83.0,12.0,48.0,19.0,205.0,19.0,206.0,53.0,575.0,18.0,22.1,91.0,16.38,0.32,69.0,6.0,2.6,1079.0,47.0,505.0,1473.0,68.0,25.0,126.0,0.24,1.0,7.3,30.0,1.1,7.0,217562.0,0.93,10.0,35.0,5.0,1.5,1.2,100.0,1079.0,35.0,879.0
3,2.1,17.0,61.1,,183.2,,26.2,,64.8,,5.7,269.0,24.8,,24.0,,,7.0,,35.0,,13.0,2.0,10.0,2.0,2.5,29.0,81048.0,,4.0,98.0,1.0,,,,,28152.0,,63.0,99.0,,75.0,4.0,96.0,3.0,70.0,,70.0,,17.0,,84.2,79.5,65.0,100.0,6.0,77.0,66.0,,91.0,,96.0,,4.0,37.3,,92.01,4.23,85.0,2.0,4.1,,38.0,,2145.0,69.0,19.0,,,,,,0.1,4.0,467716.0,0.17,8.0,47.0,4.0,,,100.0,,34.0,
4,0.9,1.0,19.5,21.0,46.4,50.0,7.4,22.0,44.5,48.0,0.5,2.0,24.4,263.0,,306.0,2.0,3.0,1078.0,47.0,8.0,27.0,9.0,,,5.1,17.0,,,0.0,100.0,0.0,0.1,41.0,0.0,0.0,4398.0,4398.0,32.0,17.0,67.0,83.0,13.0,100.0,13.0,41.0,167.0,43.0,173.0,19.0,209.0,86.4,82.9,83.3,100.0,1.0,82.0,13.0,52.0,14.0,58.0,9.0,38.0,1.0,19.7,65.0,100.0,1.58,92.0,3.0,1.2,404.0,89.0,360.0,3728.0,44.0,9.0,34.0,1.82,6.0,6.99,23.0,0.2,1.0,,0.0,0.0,100.0,0.0,1.7,1.17,94.0,381.0,8.0,59.0
5,,14.0,67.1,50.0,318.1,237.0,,74.0,41.6,31.0,30.2,100.0,65.2,486.0,5.0,20.0,2.0,4.0,745.0,33.0,,36.0,12.0,4.0,4.0,21.4,36.0,20032.0,7523.0,56.0,82.0,11.0,0.8,139.0,,11.0,28777.0,489205.0,55.0,13.0,44.0,2.0,5.0,75.0,,100.0,331.0,100.0,331.0,19.0,141.0,16.7,6.7,16.7,100.0,,69.0,14.0,45.0,52.0,172.0,93.0,307.0,53.0,22.1,37.0,0.0,0.0,,,2.0,331.0,59.0,196.0,1053.0,56.0,,122.0,0.0,0.0,2.39,4.0,2.2,4.0,,,,25.0,14.0,1.6,1.16,100.0,331.0,17.0,66.0
6,,,,174.0,,,,,64.4,111.0,,,72.2,1245.0,10.0,107.0,1.0,4.0,1724.0,42.0,,18.0,5.0,9.0,4.0,7.7,31.0,24092.0,,54.0,84.0,5.0,2.0,806.0,1.49,6.0,11740.0,810086.0,50.0,61.0,500.0,8.0,5.0,63.0,6.0,100.0,817.0,100.0,817.0,18.0,311.0,17.7,20.8,20.0,61.0,20.0,66.0,67.0,547.0,86.0,701.0,65.0,533.0,48.0,25.0,101.0,,,58.0,11.0,2.0,817.0,84.0,683.0,1081.0,67.0,,,0.0,0.0,4.46,18.0,1.0,6.0,41056.0,,,28.0,11.0,1.8,1.3,100.0,817.0,74.0,1258.0
7,0.0,0.0,22.1,29.0,101.5,133.0,14.5,35.0,,91.0,3.8,16.0,18.4,241.0,,399.0,1.0,2.0,1310.0,46.0,4.0,33.0,6.0,8.0,4.0,2.2,12.0,,,0.0,99.0,4.0,,,,,49318.0,,24.0,56.0,240.0,85.0,5.0,99.0,3.0,0.0,0.0,85.0,360.0,15.0,196.0,94.4,100.0,,100.0,1.0,97.0,47.0,199.0,37.0,156.0,85.0,360.0,0.0,26.5,145.0,100.0,1.1,94.0,10.0,0.8,426.0,100.0,426.0,,36.0,6.0,26.0,0.36,2.0,5.84,32.0,0.0,0.0,,0.0,0.0,100.0,0.0,1.5,1.19,74.0,314.0,30.0,178.0
8,0.5,1.0,16.8,31.0,89.7,166.0,28.0,63.0,37.8,70.0,12.5,129.0,28.1,519.0,26.0,257.0,4.0,3.0,1850.0,39.0,9.0,20.0,7.0,17.0,4.0,2.3,14.0,50379.0,13988.0,7.0,97.0,9.0,1.0,609.0,0.5,3.0,10627.0,74387.0,33.0,48.0,493.0,51.0,15.0,96.0,11.0,20.0,208.0,20.0,208.0,14.0,260.0,79.3,83.3,,,9.0,,13.0,135.0,32.0,331.0,67.0,695.0,9.0,14.6,87.0,76.19,2.28,87.0,10.0,1.7,1030.0,42.0,435.0,1873.0,52.0,17.0,76.0,0.5,3.0,2.01,12.0,0.0,0.0,233714.0,0.19,2.0,70.0,11.0,1.3,1.16,99.0,1015.0,9.0,209.0
9,3.3,2.0,37.9,23.0,143.3,87.0,46.8,22.0,44.5,27.0,14.6,44.0,34.3,208.0,26.0,87.0,0.0,6.0,607.0,35.0,7.0,10.0,7.0,8.0,5.0,3.2,3.0,63164.0,28440.0,9.0,93.0,5.0,0.5,42.0,0.0,0.0,2614.0,49675.0,66.0,11.0,33.0,41.0,12.0,82.0,11.0,100.0,302.0,100.0,302.0,17.0,106.0,40.0,28.6,,,21.0,,80.0,243.0,100.0,301.0,100.0,302.0,10.0,18.2,17.0,,,87.0,5.0,3.2,302.0,89.0,270.0,1254.0,64.0,35.0,95.0,,11.0,,15.0,1.2,3.0,260211.0,0.66,2.0,65.0,15.0,1.7,1.38,100.0,302.0,25.0,197.0
10,11.5,,77.6,,293.4,,59.7,,42.0,,,,47.5,,17.0,286.0,2.0,7.0,3735.0,38.0,,19.0,4.0,12.0,3.0,2.9,16.0,25227.0,,32.0,88.0,5.0,1.2,647.0,1.09,6.0,6509.0,403549.0,47.0,63.0,1010.0,18.0,5.0,78.0,7.0,100.0,1592.0,100.0,1592.0,17.0,624.0,24.2,30.8,22.2,61.0,19.0,71.0,78.0,,80.0,,100.0,,29.0,22.1,122.0,,,74.0,9.0,2.9,1592.0,75.0,1194.0,1077.0,62.0,41.0,,0.54,3.0,,,0.6,6.0,141766.0,,,36.0,6.0,1.6,1.35,100.0,1592.0,42.0,1528.0
11,0.8,2.0,30.1,79.0,89.6,235.0,23.1,86.0,38.1,100.0,4.2,51.0,30.4,797.0,33.0,,2.0,5.0,2623.0,35.0,,25.0,6.0,6.0,2.0,3.8,19.0,105208.0,,1.0,98.0,4.0,3.1,1589.0,4.51,23.0,13507.0,526792.0,61.0,44.0,538.0,87.0,13.0,99.0,12.0,82.0,1006.0,82.0,1009.0,20.0,534.0,88.0,95.7,85.7,100.0,2.0,70.0,55.0,675.0,46.0,567.0,100.0,1225.0,1.0,27.2,139.0,77.47,3.56,94.0,4.0,2.4,1225.0,64.0,784.0,2177.0,56.0,17.0,137.0,2.75,14.0,,,0.3,3.0,529879.0,0.16,2.0,63.0,7.0,1.7,1.2,100.0,1225.0,67.0,734.0
